ID,Survey_Period,RESP_ID,Which group best describes you?,Attribute,Response,QuestionID,Category,Question Intent,Order,Start time,Completion time
4,Fall_2025,Fall_2025_4,Student,How effective are your teachers in helping you understand course material and stay engaged?,8,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,4,4
6,Fall_2025,Fall_2025_6,Student,How effective are your teachers in helping you understand course material and stay engaged?,8,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,6,6
7,Fall_2025,Fall_2025_7,Student,How effective are your teachers in helping you understand course material and stay engaged?,6,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,7,7
2,Fall_2025,Fall_2025_2,Student,How safe and supported do you feel in your school environment?,10,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,2,2
4,Fall_2025,Fall_2025_4,Student,How safe and supported do you feel in your school environment?,8,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,4,4
6,Fall_2025,Fall_2025_6,Student,How safe and supported do you feel in your school environment?,7,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,6,6
7,Fall_2025,Fall_2025_7,Student,How safe and supported do you feel in your school environment?,6,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,7,7
3,Fall_2025,Fall_2025_3,Staff member,How likely are you to recommend De La Salle College as a place to work?,10,Staff memberHow likely are you to recommend De La Salle College as a place to work?,NPS,1. Likelihood to Recommend,1,3,3
3,Fall_2025,Fall_2025_3,Staff member,How balanced is the academic workload for students (challenging yet manageable)?,8,Staff memberHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,3,3
3,Fall_2025,Fall_2025_3,Staff member,How balanced is the academic workload for students (challenging yet manageable)?,8,Staff memberHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,3,3
3,Fall_2025,Fall_2025_3,Staff member,How satisfied are you with the resources and support that help you work effectively?,8,Staff memberHow satisfied are you with the resources and support that help you work effectively?,NPS,4. Resources & Support,3,3,3
3,Fall_2025,Fall_2025_3,Staff member,How effective are your teaching strategies in engaging students and promoting learning?,8,Staff memberHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,3,3
3,Fall_2025,Fall_2025_3,Staff member,How effective are your teaching strategies in engaging students and promoting learning?,8,Staff memberHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,3,3
3,Fall_2025,Fall_2025_3,Staff member,How well does the College support staff members in addressing students' academic and personal needs?,9,Staff memberHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,3,3
3,Fall_2025,Fall_2025_3,Staff member,How well does the College support staff members in addressing students' academic and personal needs?,9,Staff memberHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,3,3
5,Fall_2025,Fall_2025_5,Teaching Faculty,How likely are you to recommend De La Salle College as a place to work?,8,Teaching FacultyHow likely are you to recommend De La Salle College as a place to work?,NPS,1. Likelihood to Recommend,1,5,5
5,Fall_2025,Fall_2025_5,Teaching Faculty,How balanced is the academic workload for students (challenging yet manageable)?,7,Teaching FacultyHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,5,5
5,Fall_2025,Fall_2025_5,Teaching Faculty,How satisfied are you with the resources and support that help you work effectively?,6,Teaching FacultyHow satisfied are you with the resources and support that help you work effectively?,NPS,4. Resources & Support,3,5,5
5,Fall_2025,Fall_2025_5,Teaching Faculty,How effective are your teaching strategies in engaging students and promoting learning?,8,Teaching FacultyHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,5,5
5,Fall_2025,Fall_2025_5,Teaching Faculty,How well does the College support staff members in addressing students' academic and personal needs?,7,Teaching FacultyHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,5,5
8,Fall_2025,Fall_2025_8,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,10,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,8,8
8,Fall_2025,Fall_2025_8,Parent,How well does the academic workload challenge your child without being overwhelming?,8,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,8,8
8,Fall_2025,Fall_2025_8,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,8,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,8,8
8,Fall_2025,Fall_2025_8,Parent,How effective is the College in preparing your child for future academic and personal success?,9,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,8,8
8,Fall_2025,Fall_2025_8,Parent,How well does the College address any concerns you raise about your child?,9,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,8,8
9,Fall_2025,Fall_2025_9,Staff member,How likely are you to recommend De La Salle College as a place to work?,9,Staff memberHow likely are you to recommend De La Salle College as a place to work?,NPS,1. Likelihood to Recommend,1,9,9
9,Fall_2025,Fall_2025_9,Staff member,How balanced is the academic workload for students (challenging yet manageable)?,10,Staff memberHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,9,9
9,Fall_2025,Fall_2025_9,Staff member,How balanced is the academic workload for students (challenging yet manageable)?,10,Staff memberHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,9,9
9,Fall_2025,Fall_2025_9,Staff member,How satisfied are you with the resources and support that help you work effectively?,7,Staff memberHow satisfied are you with the resources and support that help you work effectively?,NPS,4. Resources & Support,3,9,9
9,Fall_2025,Fall_2025_9,Staff member,How effective are your teaching strategies in engaging students and promoting learning?,9,Staff memberHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,9,9
9,Fall_2025,Fall_2025_9,Staff member,How effective are your teaching strategies in engaging students and promoting learning?,9,Staff memberHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,9,9
9,Fall_2025,Fall_2025_9,Staff member,How well does the College support staff members in addressing students' academic and personal needs?,9,Staff memberHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,9,9
9,Fall_2025,Fall_2025_9,Staff member,How well does the College support staff members in addressing students' academic and personal needs?,9,Staff memberHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,9,9
10,Fall_2025,Fall_2025_10,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,8,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,10,10
10,Fall_2025,Fall_2025_10,Student,How well does the academic workload challenge you without being overwhelming?,8,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,10,10
10,Fall_2025,Fall_2025_10,Student,How satisfied are you with the support and resources available to help you succeed academically?,5,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,10,10
10,Fall_2025,Fall_2025_10,Student,How effective are your teachers in helping you understand course material and stay engaged?,5,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,10,10
10,Fall_2025,Fall_2025_10,Student,How safe and supported do you feel in your school environment?,8,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,10,10
11,Fall_2025,Fall_2025_11,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,6,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,11,11
11,Fall_2025,Fall_2025_11,Parent,How well does the academic workload challenge your child without being overwhelming?,4,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,11,11
11,Fall_2025,Fall_2025_11,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,5,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,11,11
11,Fall_2025,Fall_2025_11,Parent,How effective is the College in preparing your child for future academic and personal success?,6,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,11,11
11,Fall_2025,Fall_2025_11,Parent,How well does the College address any concerns you raise about your child?,6,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,11,11
12,Fall_2025,Fall_2025_12,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,8,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,12,12
12,Fall_2025,Fall_2025_12,Student,How well does the academic workload challenge you without being overwhelming?,8,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,12,12
12,Fall_2025,Fall_2025_12,Student,How satisfied are you with the support and resources available to help you succeed academically?,9,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,12,12
12,Fall_2025,Fall_2025_12,Student,How effective are your teachers in helping you understand course material and stay engaged?,8,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,12,12
12,Fall_2025,Fall_2025_12,Student,How safe and supported do you feel in your school environment?,10,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,12,12
13,Fall_2025,Fall_2025_13,Teaching Faculty,How likely are you to recommend De La Salle College as a place to work?,8,Teaching FacultyHow likely are you to recommend De La Salle College as a place to work?,NPS,1. Likelihood to Recommend,1,13,13
13,Fall_2025,Fall_2025_13,Teaching Faculty,How balanced is the academic workload for students (challenging yet manageable)?,8,Teaching FacultyHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,13,13
13,Fall_2025,Fall_2025_13,Teaching Faculty,How satisfied are you with the resources and support that help you work effectively?,5,Teaching FacultyHow satisfied are you with the resources and support that help you work effectively?,NPS,4. Resources & Support,3,13,13
13,Fall_2025,Fall_2025_13,Teaching Faculty,How effective are your teaching strategies in engaging students and promoting learning?,7,Teaching FacultyHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,13,13
13,Fall_2025,Fall_2025_13,Teaching Faculty,How well does the College support staff members in addressing students' academic and personal needs?,8,Teaching FacultyHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,13,13
14,Fall_2025,Fall_2025_14,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,9,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,14,14
14,Fall_2025,Fall_2025_14,Parent,How well does the academic workload challenge your child without being overwhelming?,10,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,14,14
14,Fall_2025,Fall_2025_14,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,8,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,14,14
14,Fall_2025,Fall_2025_14,Parent,How effective is the College in preparing your child for future academic and personal success?,10,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,14,14
14,Fall_2025,Fall_2025_14,Parent,How well does the College address any concerns you raise about your child?,7,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,14,14
15,Fall_2025,Fall_2025_15,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,5,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,15,15
15,Fall_2025,Fall_2025_15,Student,How well does the academic workload challenge you without being overwhelming?,1,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,15,15
15,Fall_2025,Fall_2025_15,Student,How satisfied are you with the support and resources available to help you succeed academically?,2,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,15,15
15,Fall_2025,Fall_2025_15,Student,How effective are your teachers in helping you understand course material and stay engaged?,6,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,15,15
15,Fall_2025,Fall_2025_15,Student,How safe and supported do you feel in your school environment?,8,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,15,15
16,Fall_2025,Fall_2025_16,Staff member,How likely are you to recommend De La Salle College as a place to work?,7,Staff memberHow likely are you to recommend De La Salle College as a place to work?,NPS,1. Likelihood to Recommend,1,16,16
16,Fall_2025,Fall_2025_16,Staff member,How balanced is the academic workload for students (challenging yet manageable)?,7,Staff memberHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,16,16
16,Fall_2025,Fall_2025_16,Staff member,How balanced is the academic workload for students (challenging yet manageable)?,7,Staff memberHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,16,16
16,Fall_2025,Fall_2025_16,Staff member,How satisfied are you with the resources and support that help you work effectively?,8,Staff memberHow satisfied are you with the resources and support that help you work effectively?,NPS,4. Resources & Support,3,16,16
16,Fall_2025,Fall_2025_16,Staff member,How effective are your teaching strategies in engaging students and promoting learning?,0,Staff memberHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,16,16
16,Fall_2025,Fall_2025_16,Staff member,How effective are your teaching strategies in engaging students and promoting learning?,0,Staff memberHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,16,16
16,Fall_2025,Fall_2025_16,Staff member,How well does the College support staff members in addressing students' academic and personal needs?,8,Staff memberHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,16,16
16,Fall_2025,Fall_2025_16,Staff member,How well does the College support staff members in addressing students' academic and personal needs?,8,Staff memberHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,16,16
17,Fall_2025,Fall_2025_17,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,8,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,17,17
17,Fall_2025,Fall_2025_17,Student,How well does the academic workload challenge you without being overwhelming?,5,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,17,17
17,Fall_2025,Fall_2025_17,Student,How satisfied are you with the support and resources available to help you succeed academically?,8,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,17,17
17,Fall_2025,Fall_2025_17,Student,How effective are your teachers in helping you understand course material and stay engaged?,7,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,17,17
17,Fall_2025,Fall_2025_17,Student,How safe and supported do you feel in your school environment?,10,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,17,17
18,Fall_2025,Fall_2025_18,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,8,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,18,18
18,Fall_2025,Fall_2025_18,Parent,How well does the academic workload challenge your child without being overwhelming?,10,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,18,18
18,Fall_2025,Fall_2025_18,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,3,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,18,18
18,Fall_2025,Fall_2025_18,Parent,How effective is the College in preparing your child for future academic and personal success?,8,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,18,18
18,Fall_2025,Fall_2025_18,Parent,How well does the College address any concerns you raise about your child?,2,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,18,18
19,Fall_2025,Fall_2025_19,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,8,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,19,19
19,Fall_2025,Fall_2025_19,Student,How well does the academic workload challenge you without being overwhelming?,6,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,19,19
19,Fall_2025,Fall_2025_19,Student,How satisfied are you with the support and resources available to help you succeed academically?,2,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,19,19
19,Fall_2025,Fall_2025_19,Student,How effective are your teachers in helping you understand course material and stay engaged?,3,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,19,19
19,Fall_2025,Fall_2025_19,Student,How safe and supported do you feel in your school environment?,7,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,19,19
20,Fall_2025,Fall_2025_20,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,6,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,20,20
20,Fall_2025,Fall_2025_20,Parent,How well does the academic workload challenge your child without being overwhelming?,8,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,20,20
20,Fall_2025,Fall_2025_20,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,5,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,20,20
20,Fall_2025,Fall_2025_20,Parent,How effective is the College in preparing your child for future academic and personal success?,5,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,20,20
20,Fall_2025,Fall_2025_20,Parent,How well does the College address any concerns you raise about your child?,5,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,20,20
21,Fall_2025,Fall_2025_21,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,9,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,21,21
21,Fall_2025,Fall_2025_21,Parent,How well does the academic workload challenge your child without being overwhelming?,9,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,21,21
21,Fall_2025,Fall_2025_21,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,9,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,21,21
21,Fall_2025,Fall_2025_21,Parent,How effective is the College in preparing your child for future academic and personal success?,9,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,21,21
21,Fall_2025,Fall_2025_21,Parent,How well does the College address any concerns you raise about your child?,9,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,21,21
22,Fall_2025,Fall_2025_22,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,8,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,22,22
22,Fall_2025,Fall_2025_22,Parent,How well does the academic workload challenge your child without being overwhelming?,9,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,22,22
22,Fall_2025,Fall_2025_22,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,9,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,22,22
22,Fall_2025,Fall_2025_22,Parent,How effective is the College in preparing your child for future academic and personal success?,9,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,22,22
22,Fall_2025,Fall_2025_22,Parent,How well does the College address any concerns you raise about your child?,8,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,22,22
23,Fall_2025,Fall_2025_23,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,6,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,23,23
23,Fall_2025,Fall_2025_23,Student,How well does the academic workload challenge you without being overwhelming?,6,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,23,23
23,Fall_2025,Fall_2025_23,Student,How satisfied are you with the support and resources available to help you succeed academically?,7,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,23,23
23,Fall_2025,Fall_2025_23,Student,How effective are your teachers in helping you understand course material and stay engaged?,8,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,23,23
23,Fall_2025,Fall_2025_23,Student,How safe and supported do you feel in your school environment?,9,StudentHow safe and supported do you feel in your school environment?,NPS,5. Values and Standards,5,23,23
24,Fall_2025,Fall_2025_24,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,8,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,24,24
24,Fall_2025,Fall_2025_24,Parent,How well does the academic workload challenge your child without being overwhelming?,8,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,24,24
24,Fall_2025,Fall_2025_24,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,9,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,24,24
24,Fall_2025,Fall_2025_24,Parent,How effective is the College in preparing your child for future academic and personal success?,7,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,24,24
24,Fall_2025,Fall_2025_24,Parent,How well does the College address any concerns you raise about your child?,9,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,24,24
25,Fall_2025,Fall_2025_25,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,5,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,25,25
25,Fall_2025,Fall_2025_25,Parent,How well does the academic workload challenge your child without being overwhelming?,5,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,25,25
25,Fall_2025,Fall_2025_25,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,5,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,25,25
25,Fall_2025,Fall_2025_25,Parent,How effective is the College in preparing your child for future academic and personal success?,4,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,25,25
25,Fall_2025,Fall_2025_25,Parent,How well does the College address any concerns you raise about your child?,5,ParentHow well does the College address any concerns you raise about your child?,NPS,5. Values and Standards,5,25,25
26,Fall_2025,Fall_2025_26,Teaching Faculty,How likely are you to recommend De La Salle College as a place to work?,8,Teaching FacultyHow likely are you to recommend De La Salle College as a place to work?,NPS,1. Likelihood to Recommend,1,26,26
26,Fall_2025,Fall_2025_26,Teaching Faculty,How balanced is the academic workload for students (challenging yet manageable)?,10,Teaching FacultyHow balanced is the academic workload for students (challenging yet manageable)?,NPS,2. Quality & Workload of Education,2,26,26
26,Fall_2025,Fall_2025_26,Teaching Faculty,How satisfied are you with the resources and support that help you work effectively?,7,Teaching FacultyHow satisfied are you with the resources and support that help you work effectively?,NPS,4. Resources & Support,3,26,26
26,Fall_2025,Fall_2025_26,Teaching Faculty,How effective are your teaching strategies in engaging students and promoting learning?,9,Teaching FacultyHow effective are your teaching strategies in engaging students and promoting learning?,NPS,3. Preparation,4,26,26
26,Fall_2025,Fall_2025_26,Teaching Faculty,How well does the College support staff members in addressing students' academic and personal needs?,8,Teaching FacultyHow well does the College support staff members in addressing students' academic and personal needs?,NPS,5. Values and Standards,5,26,26
27,Fall_2025,Fall_2025_27,Parent,How likely are you to recommend De La Salle College to others based on the education your child receives?,10,ParentHow likely are you to recommend De La Salle College to others based on the education your child receives?,NPS,1. Likelihood to Recommend,1,27,27
27,Fall_2025,Fall_2025_27,Parent,How well does the academic workload challenge your child without being overwhelming?,9,ParentHow well does the academic workload challenge your child without being overwhelming?,NPS,2. Quality & Workload of Education,2,27,27
27,Fall_2025,Fall_2025_27,Parent,How satisfied are you with the College's communication and support regarding your child's progress and well-being?,9,ParentHow satisfied are you with the College's communication and support regarding your child's progress and well-being?,NPS,4. Resources & Support,3,27,27
27,Fall_2025,Fall_2025_27,Parent,How effective is the College in preparing your child for future academic and personal success?,7,ParentHow effective is the College in preparing your child for future academic and personal success?,NPS,3. Preparation,4,27,27
